"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-27 10:09:17",1764238157134,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","fatal","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Node.js process exited with exit status: 128. The logs above can help with debugging the issue.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","",-1
"2025-11-27 10:09:17",1764238157134,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Error: Failed to lookup view ""warning"" in views directory ""/var/task/views""
    at app.render (/var/task/node_modules/express/lib/application.js:580:17)
    at ServerResponse.render (/var/task/node_modules/express/lib/response.js:1008:7)
    at /var/task/routes/index.js:100:9
    at Layer.handle [as handle_request] (/var/task/node_modules/express/lib/router/layer.js:95:5)
    at next (/var/task/node_modules/express/lib/router/route.js:137:13)
    at Route.dispatch (/var/task/node_modules/express/lib/router/route.js:112:3)
    at Layer.handle [as handle_request] (/var/task/node_modules/express/lib/router/layer.js:95:5)
    at /var/task/node_modules/express/lib/router/index.js:281:22
    at router.process_params (/var/task/node_modules/express/lib/router/index.js:335:12)
    at next (/var/task/node_modules/express/lib/router/index.js:275:10)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","",-1
"2025-11-27 10:09:17",1764238157122,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"[0mGET / [31m500 [0m4.665 ms - 148[0m","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","",-1
"2025-11-27 10:09:17",1764238157111,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Warning: connect.session() MemoryStore is notdesigned for a production environment, as it will leakmemory, and will not scale past a single process.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","",-1
"2025-11-27 10:09:17",1764238157111,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",-1,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Unhandled Rejection: Error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
    at QueryReqWrap.onresolve [as oncomplete] (node:internal/dns/promises:294:17)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","",-1
"2025-11-27 10:09:16",1764238156421,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/","GET","",500,"m84jr-1764238156286-6b8ffa6d41a2","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.0 Safari/537.36","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",735,"iad1",147,2048,"","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKRM5S05GH6GVA4YNJM02","bjSyhEezJHNf",1
"2025-11-27 10:09:10",1764238150114,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.png","GET","",-1,"tnwvl-1764238149357-1fd1a545d6f2","vercel-favicon/1.0","fatal","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Node.js process exited with exit status: 128. The logs above can help with debugging the issue.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKHRKTZF01CXY1V7XPPMB","",-1
"2025-11-27 10:09:10",1764238150107,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.png","GET","",-1,"tnwvl-1764238149357-1fd1a545d6f2","vercel-favicon/1.0","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"[0mGET /favicon.png [33m404 [0m2.376 ms - 150[0m","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKHRKTZF01CXY1V7XPPMB","",-1
"2025-11-27 10:09:10",1764238150098,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.png","GET","",-1,"tnwvl-1764238149357-1fd1a545d6f2","vercel-favicon/1.0","info","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Warning: connect.session() MemoryStore is notdesigned for a production environment, as it will leakmemory, and will not scale past a single process.","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKHRKTZF01CXY1V7XPPMB","",-1
"2025-11-27 10:09:10",1764238150098,"omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app/favicon.png","GET","",-1,"tnwvl-1764238149357-1fd1a545d6f2","vercel-favicon/1.0","error","production","main","","lambda","/app.js","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","omee-fhuf1g1xa-rojit-bhatts-projects.vercel.app","dpl_4wEcpgF3YhRsvXtnwbC9ivh1gexa",-1,"iad1",-1,-1,"Unhandled Rejection: Error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
    at QueryReqWrap.onresolve [as oncomplete] (node:internal/dns/promises:294:17)","prj_qLiDwWP5oP9tBh8BODDush6bcdIy","","","01KB2CKHRKTZF01CXY1V7XPPMB","",-1
